url	first_seen	portal	title	company	status
https://explore.jobs.netflix.net/careers/job/790315115650	2026-04-06	websearch	Distributed Systems Engineer (L5 + L6), Compute Runtime	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314114795	2026-04-06	websearch	Full Stack Software Engineer 5 - Member Experience Core Systems	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790312935253	2026-04-06	websearch	Software Engineer (L6) - Technical Catalog	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313551266	2026-04-06	websearch	Software Engineer 5 - Ads Campaign Management	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790315061610	2026-04-06	websearch	Engineering Manager, Open Connect Site Reliability Engineering	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313542413	2026-04-06	websearch	Engineering Manager, Cloud Network Engineering	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314045902	2026-04-06	websearch	Engineering Manager, Game Lifecycle Engineering	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314645748	2026-04-06	websearch	Engineering Manager - Search & Voice Systems	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313766911	2026-04-06	websearch	Engineering Manager (Cloud Architecture Tooling & Security)	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790312547139	2026-04-06	websearch	Engineering Manager - Member Experience Client Foundations	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314887357	2026-04-06	websearch	Engineering Manager, Mobile Delivery and Release Readiness	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314862212	2026-04-06	websearch	Engineering Manager, Ads Conversion API	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314797539	2026-04-06	websearch	Engineering Manager - Pricing Catalog & Offers	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313895569	2026-04-06	websearch	Engineering Manager - OC Foundation Infrastructure Services	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313763527	2026-04-06	websearch	Senior Software Engineer 5 - Commerce Experiences Testing Infrastructure	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314771265	2026-04-06	websearch	Manager, Cloud Infrastructure Engineering Tooling	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313700509	2026-04-06	websearch	Engineering Manager, Cloud Infrastructure Security	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313045009	2026-04-06	websearch	Software Engineer 5 - Studio Infrastructure	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313598212	2026-04-06	websearch	Manager, Engineering - Observability	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313598282	2026-04-06	websearch	Software Engineer 5 - Observability	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314858259	2026-04-06	websearch	Distributed Systems Engineer 4/5 - Ads Creative Infrastructure	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314309540	2026-04-06	websearch	Distributed Systems Engineer 5 - Billing Platform	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790314243946	2026-04-06	websearch	Distributed Systems Engineer 5 - Membership & Monetization Platform	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790313737382	2026-04-06	websearch	Software Engineer - Customer Service Platform	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790312441730	2026-04-06	websearch	Software Engineer 5 - Forecasting & Simulation	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790315150655	2026-04-06	websearch	Engineering Manager, AI Observability	Netflix	matched
https://explore.jobs.netflix.net/careers/job/790312415414	2026-04-06	websearch	Machine Learning Engineer Intern, 2026	Netflix	skipped
https://explore.jobs.netflix.net/careers/job/790312031373	2026-04-06	websearch	Android Software Engineer 4	Netflix	skipped
https://explore.jobs.netflix.net/careers/job/790314581398	2026-04-06	websearch	Senior Software Engineer (5) Java Platform Team	Netflix	skipped
https://openai.com/careers/software-engineer-data-infrastructure-san-francisco/	2026-04-06	websearch	Software Engineer, Data Infrastructure	OpenAI	matched
https://openai.com/careers/data-infrastructure-engineer/	2026-04-06	websearch	Data Infrastructure Engineer	OpenAI	matched
https://openai.com/careers/software-engineer-infrastructure-analytics-san-francisco/	2026-04-06	websearch	Software Engineer, Infrastructure - Analytics	OpenAI	matched
https://openai.com/careers/software-engineer-enterprise-ai-platform-san-francisco/	2026-04-06	websearch	Software Engineer, Enterprise AI Platform	OpenAI	matched
https://openai.com/careers/software-engineer-data-infrastructure-research-san-francisco/	2026-04-06	websearch	Software Engineer, Data Infrastructure - Research	OpenAI	matched
https://openai.com/careers/software-engineer-data-platform/	2026-04-06	websearch	Software Engineer, Data Platform	OpenAI	matched
https://openai.com/careers/software-engineer-cloud-infrastructure	2026-04-06	websearch	Software Engineer, Cloud Infrastructure	OpenAI	matched
https://openai.com/careers/software-engineer-agent-infrastructure-san-francisco/	2026-04-06	websearch	Software Engineer, Agent Infrastructure	OpenAI	matched
https://openai.com/careers/data-engineer-analytics-san-francisco/	2026-04-06	websearch	Data Engineer, Analytics	OpenAI	matched
https://openai.com/careers/software-engineer-model-inference-san-francisco/	2026-04-06	websearch	Software Engineer, Model Inference	OpenAI	matched
https://openai.com/careers/engineering-manager-data-infrastructure/	2026-04-06	websearch	Engineering Manager, Data Infrastructure	OpenAI	matched
https://openai.com/careers/engineering-manager-core-services-san-francisco/	2026-04-06	websearch	Engineering Manager, Core Services	OpenAI	matched
https://openai.com/careers/machine-learning-engineer-distributed-data-systems-san-francisco/	2026-04-06	websearch	Machine Learning Engineer, Distributed Data Systems	OpenAI	matched
https://openai.com/careers/data-engineering-manager-san-francisco/	2026-04-06	websearch	Data Engineering Manager	OpenAI	matched
https://openai.com/careers/software-engineer-research-infrastructure-san-francisco/	2026-04-06	websearch	Software Engineer, Research Infrastructure	OpenAI	matched
https://openai.com/careers/software-engineer-hardware-san-francisco/	2026-04-06	websearch	Software Engineer, Hardware	OpenAI	skipped
https://openai.com/careers/software-engineer-applied-emerging-talent-(2026)/	2026-04-06	websearch	Software Engineer, Applied Emerging Talent (2026)	OpenAI	skipped
https://www.google.com/about/careers/applications/jobs/results/108756042715669190-senior-staff-software-engineer/	2026-04-06	websearch	Senior Staff Software Engineer, SRE, ML Fleet Systems	Google	matched
https://www.google.com/about/careers/applications/jobs/results/78444291361252038-staff-software-engineer-core-data-ml-infrastructure	2026-04-06	websearch	Staff Software Engineer, Core Data ML Infrastructure	Google	matched
https://www.google.com/about/careers/applications/jobs/results/81709894649946822-senior-software-engineer/	2026-04-06	websearch	Senior Software Engineer, Vertex AI Platform SRE	Google	matched
https://www.google.com/about/careers/applications/jobs/results/82187176648811206-software-engineer/	2026-04-06	websearch	Software Engineer, Platforms Release Engineering	Google	matched
https://www.google.com/about/careers/applications/jobs/results/139772861202997958-software-engineer/	2026-04-06	websearch	Software Engineer, SRE, Data Cloud Platform	Google	matched
https://www.google.com/about/careers/applications/jobs/results/108901333674664646-site-reliability-engineer/	2026-04-06	websearch	Site Reliability Engineer, ML Compute SRE	Google	matched
https://www.google.com/about/careers/applications/jobs/results/144091868236260038-software-engineer/	2026-04-06	websearch	Software Engineer, ML	Google	matched
https://www.google.com/about/careers/applications/jobs/results/141932400018891462-staff-software-engineer/	2026-04-06	websearch	Staff Software Engineer, SRE, Google Cloud	Google	matched
https://www.google.com/about/careers/applications/jobs/results/130864805362705094-software-engineer/	2026-04-06	websearch	Software Engineer, AI/ML	Google	matched
https://www.google.com/about/careers/applications/jobs/results/125054360466924230-staff-software-engineer/	2026-04-06	websearch	Staff Software Engineer, Infrastructure	Google	matched
https://www.google.com/about/careers/applications/jobs/results/143840901217559238-software-engineering-manager/	2026-04-06	websearch	Software Engineering Manager, Generative AI, LLM	Google	matched
https://www.google.com/about/careers/applications/jobs/results/106695153392984774-cloud-infrastructure-engineer/	2026-04-06	websearch	Cloud Infrastructure Engineer, Public Sector	Google	matched
https://www.google.com/about/careers/applications/jobs/results/76004579547718342-engineer-manager/	2026-04-06	websearch	Engineer Manager, AI/ML, Platform Infra	Google	matched
